TREE_NAMES	Clade	MAG	Total_abundance
TARA_CHLORO_00162	Ochrophytes	mag	114.913169
TARA_CHLORO_00163	Ochrophytes	mag	75.64518525
TARA_CHLORO_00164	Ochrophytes	mag	34.37879084
TARA_CHLORO_00165	Ochrophytes	mag	196.5328212
TARA_CHLORO_00166	Haptophytes	mag	20.34939852
TARA_CHLORO_00167	Prasinodermophytes	mag	765.6308582
TARA_CHLORO_00168	Haptophytes	mag	781.4938047
TARA_CHLORO_00169	Haptophytes	mag	661.0687746
TARA_CHLORO_00170	Ochrophytes	mag	591.4297759
TARA_CHLORO_00171	Haptophytes	mag	274.7063738
TARA_CHLORO_00172	Haptophytes	mag	733.5425379
TARA_CHLORO_00173	Haptophytes	mag	730.0808454
TARA_CHLORO_00174	Haptophytes	mag	92.43667748
TARA_CHLORO_00175	Haptophytes	mag	450.8464506
TARA_CHLORO_00176	Haptophytes	mag	168.4348107
TARA_CHLORO_00177	Haptophytes	mag	1829.454228
TARA_CHLORO_00178	Ochrophytes	mag	396.1052063
TARA_CHLORO_00179	Haptophytes	mag	558.7553978
TARA_CHLORO_00180	Haptophytes	mag	892.2965808
TARA_CHLORO_00181	Haptophytes	mag	13776.92099
TARA_CHLORO_00182	Ochrophytes	mag	131.7343615
TARA_CHLORO_00183	Haptophytes	mag	90.47713001
TARA_CHLORO_00184	Ochrophytes	mag	100.2973656
TARA_CHLORO_00186	Ochrophytes	mag	1722.897633
TARA_CHLORO_00187	Cryptophytes	mag	463.3357665
TARA_CHLORO_00188	Ochrophytes	mag	475.1142251
TARA_CHLORO_00189	Ochrophytes	mag	573.3043412
TARA_CHLORO_00190	Ochrophytes	mag	1718.374112
TARA_CHLORO_00191	Ochrophytes	mag	1471.425553
TARA_CHLORO_00192	Ochrophytes	mag	90.64600502
TARA_CHLORO_00193	Ochrophytes	mag	134.4301376
TARA_CHLORO_00194	Ochrophytes	mag	169.9973879
TARA_CHLORO_00195	Ochrophytes	mag	1193.137822
TARA_CHLORO_00197	Ochrophytes	mag	34.41412899
TARA_CHLORO_00198	Ochrophytes	mag	313.3414946
TARA_CHLORO_00199	Ochrophytes	mag	974.3063389
TARA_CHLORO_00200	Ochrophytes	mag	483.9091845
TARA_CHLORO_00201	Ochrophytes	mag	425.8109374
TARA_CHLORO_00202	Ochrophytes	mag	53.23557415
TARA_CHLORO_00203	Ochrophytes	mag	337.7653436
TARA_CHLORO_00204	Ochrophytes	mag	896.9768943
TARA_CHLORO_00205	Ochrophytes	mag	602.7271021
TARA_CHLORO_00206	Ochrophytes	mag	4284.735825
TARA_CHLORO_00207	Ochrophytes	mag	758.7191167
TARA_CHLORO_00208	Ochrophytes	mag	1199.108214
TARA_CHLORO_00209	Ochrophytes	mag	238.4064792
TARA_CHLORO_00210	Haptophytes	mag	90.52295616
TARA_CHLORO_00211	Haptophytes	mag	40.95870104
TARA_CHLORO_00212	Cryptophytes	mag	1883.829662
TARA_CHLORO_00214	Haptophytes	mag	163.0133778
TARA_CHLORO_00215	Haptophytes	mag	148.6745791
TARA_CHLORO_00216	Haptophytes	mag	47.61085631
TARA_CHLORO_00217	Cryptophytes	mag	278.1942761
TARA_CHLORO_00218	Ochrophytes	mag	103.4375088
TARA_CHLORO_00219	Ochrophytes	mag	14.96444334
TARA_CHLORO_00220	Dinophytes	mag	18.41398393
TARA_CHLORO_00221	Ochrophytes	mag	173.3654598
TARA_CHLORO_00222	Cryptophytes	mag	26.8568345
TARA_CHLORO_00223	Haptophytes	mag	138.0347581
TARA_CHLORO_00224	Haptophytes	mag	68.35825631
TARA_CHLORO_00226	Haptophytes	mag	33.83399202
TARA_CHLORO_00227	Chlorophytes	mag	26.9120545
TARA_CHLORO_00228	Ochrophytes	mag	22.3671538
TARA_CHLORO_00229	Haptophytes	mag	15.87355585
TARA_CHLORO_00230	Haptophytes	mag	54.75053487
TARA_CHLORO_00231	Haptophytes	mag	2187.507638
TARA_CHLORO_00232	Haptophytes	mag	346.5780365
TARA_CHLORO_00234	Ochrophytes	mag	60.12097895
TARA_CHLORO_00235	Ochrophytes	mag	28.17872659
TARA_CHLORO_00236	Ochrophytes	mag	110.9058666
TARA_CHLORO_00237	Chlorophytes	mag	1941.923648
TARA_CHLORO_00238	Euglenophytes	mag	256.0760286
TARA_CHLORO_00239	Haptophytes	mag	1658.668105
TARA_CHLORO_00240	Haptophytes	mag	1227.267765
TARA_CHLORO_00241	Haptophytes	mag	587.353866
TARA_CHLORO_00242	Haptophytes	mag	1304.726393
TARA_CHLORO_00243	Ochrophytes	mag	101.9332733
TARA_CHLORO_00244	Chlorophytes	mag	95.48021554
TARA_CHLORO_00245	Ochrophytes	mag	399.9349091
TARA_CHLORO_00246	Chlorophytes	mag	37.1968332
TARA_CHLORO_00248	Haptophytes	mag	32.81969826
TARA_CHLORO_00249	Ochrophytes	mag	227.8924153
TARA_CHLORO_00250	Chlorophytes	mag	16.61471308
TARA_CHLORO_00251	Haptophytes	mag	62.76401093
TARA_CHLORO_00252	Haptophytes	mag	20.732158
TARA_CHLORO_00253	Haptophytes	mag	76.91674111
TARA_CHLORO_00254	Haptophytes	mag	180.5658498
TARA_CHLORO_00255	Haptophytes	mag	72.12785423
TARA_CHLORO_00256	Haptophytes	mag	25.02791823
TARA_CHLORO_00257	Ochrophytes	mag	67.96072905
TARA_CHLORO_00258	Haptophytes	mag	34.29127242
TARA_CHLORO_00259	Haptophytes	mag	27.80132972
TARA_CHLORO_00260	Haptophytes	mag	204.6350109
TARA_CHLORO_00261	Haptophytes	mag	197.7643124
TARA_CHLORO_00262	Haptophytes	mag	154.8171374
TARA_CHLORO_00263	Haptophytes	mag	384.2665272
TARA_CHLORO_00264	Chlorophytes	mag	4008.506867
TARA_CHLORO_00266	Ochrophytes	mag	935.0710445
TARA_CHLORO_00267	Ochrophytes	mag	358.0586783
TARA_CHLORO_00268	Ochrophytes	mag	141.8743506
TARA_CHLORO_00269	Ochrophytes	mag	394.1283225
TARA_CHLORO_00270	Ochrophytes	mag	1087.490995
TARA_CHLORO_00271	Euglenophytes	mag	322.3678629
TARA_CHLORO_00272	Euglenophytes	mag	823.1269067
TARA_CHLORO_00273	Ochrophytes	mag	558.4396579
TARA_CHLORO_00275	Cryptophytes	mag	2850.162935
TARA_CHLORO_00276	Ochrophytes	mag	88.63440502
TARA_CHLORO_00277	Ochrophytes	mag	1862.682064
TARA_CHLORO_00278	Ochrophytes	mag	1873.999576
TARA_CHLORO_00279	Ochrophytes	mag	9600.455022
TARA_CHLORO_00281	Ochrophytes	mag	2949.6281
TARA_CHLORO_00282	Ochrophytes	mag	723.8558418
